Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
268,Timothe Luwawu-Cabarrot\luwawti01,SF,23,OKC,14,1,8.0,0.9,2.8,.333,0.4,1.4,.250,0.6,1.4,.421,.397,0.3,0.4,.667,0.3,0.9,1.1,0.3,0.3,0.1,0.4,0.9,2.5
269,Tyler Lydon\lydonty01,PF,22,DEN,7,0,3.7,0.9,1.1,.750,0.4,0.6,.750,0.4,0.6,.750,.938,0.1,0.3,.500,0.3,0.3,0.6,0.0,0.0,0.0,0.1,0.3,2.3
270,Trey Lyles\lylestr01,PF,23,DEN,22,0,20.2,4.0,8.9,.449,0.9,3.2,.271,3.1,5.7,.548,.497,1.7,2.5,.673,0.7,3.9,4.6,1.5,0.5,0.3,1.6,1.8,10.5
271,Shelvin Mack\macksh01,PG,28,MEM,21,0,25.5,3.6,7.9,.461,1.2,2.9,.417,2.4,5.0,.486,.536,1.3,1.9,.675,0.3,2.0,2.3,3.6,1.1,0.1,1.2,1.5,9.7
272,Daryl Macon\maconda01,SG,23,DAL,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,Ian Mahinmi\mahinia01,C,32,WAS,12,6,14.3,1.0,2.3,.429,0.1,0.5,.167,0.9,1.8,.500,.446,2.0,3.0,.667,1.5,2.0,3.5,0.4,0.5,0.4,0.6,2.6,4.1
274,Thon Maker\makerth01,C,21,MIL,13,0,11.7,1.8,4.4,.404,0.9,2.8,.324,0.8,1.5,.550,.509,0.2,0.5,.333,0.5,2.4,2.9,0.6,0.2,0.7,0.3,1.5,4.6
275,Boban Marjanovic\marjabo01,C,30,LAC,16,4,11.3,2.8,4.4,.620,0.0,0.1,.000,2.8,4.4,.629,.620,2.2,2.9,.745,1.8,3.1,4.9,0.6,0.3,0.9,0.9,1.8,7.7
276,Jarell Martin\martija01,PF,24,ORL,14,1,10.3,1.1,3.2,.356,0.2,1.2,.176,0.9,2.0,.464,.389,0.4,0.4,1.000,0.4,1.9,2.3,0.6,0.1,0.2,0.4,1.1,2.9
277,Frank Mason\masonfr01,PG,24,SAC,20,0,13.7,1.9,4.8,.385,0.3,1.7,.176,1.6,3.1,.500,.417,1.2,1.7,.727,0.2,1.2,1.3,3.0,0.5,0.2,1.0,0.9,5.2
278,Wesley Matthews\matthwe02,SG,32,DAL,16,16,31.7,5.3,12.0,.438,2.5,6.6,.381,2.8,5.4,.506,.542,2.5,3.1,.800,0.6,1.9,2.5,2.3,0.8,0.3,1.3,2.2,15.5
279,Luc Mbah a Moute\mbahalu01,PF,32,LAC,4,0,15.3,2.0,4.5,.444,0.5,1.5,.333,1.5,3.0,.500,.500,0.5,1.3,.400,0.5,1.3,1.8,0.5,0.3,0.3,0.5,2.0,5.0
280,CJ McCollum\mccolcj01,SG,27,POR,22,22,33.9,8.3,17.8,.467,2.2,6.0,.366,6.1,11.9,.517,.528,2.5,3.1,.824,1.1,2.8,4.0,2.3,0.8,0.3,1.6,2.5,21.4
281,T.J. McConnell\mccontj01,PG,26,PHI,18,0,15.5,2.1,3.9,.529,0.1,0.5,.222,1.9,3.4,.574,.543,0.4,0.4,1.000,0.2,1.4,1.6,2.6,0.8,0.3,1.0,1.3,4.7
282,Doug McDermott\mcderdo01,SF,27,IND,22,0,17.5,2.5,4.9,.509,1.3,3.0,.439,1.2,1.9,.619,.644,1.0,1.1,.875,0.2,1.0,1.3,0.8,0.4,0.1,0.3,1.5,7.3
283,JaVale McGee\mcgeeja01,C,31,LAL,22,22,24.3,5.4,8.6,.621,0.0,0.2,.250,5.3,8.5,.629,.624,1.3,1.9,.683,2.4,4.0,6.4,1.0,0.9,2.8,1.5,2.6,12.0
284,Rodney McGruder\mcgruro01,SG,27,MIA,21,21,33.3,4.7,10.6,.441,1.6,4.3,.363,3.1,6.2,.496,.516,1.2,1.7,.743,1.0,3.9,5.0,3.2,1.0,0.2,1.5,2.8,12.1
285,Alfonzo McKinnie\mckinal01,SF,26,GSW,16,0,15.7,2.4,4.8,.513,0.9,1.9,.484,1.5,2.8,.533,.612,0.4,0.8,.538,1.2,2.6,3.8,0.5,0.2,0.2,0.4,2.0,6.3
286,Ben McLemore\mclembe01,SG,25,SAC,6,0,5.0,0.7,2.2,.308,0.7,1.7,.400,0.0,0.5,.000,.462,0.0,0.3,.000,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.7,2.0
287,Jordan McRae\mcraejo01,SG,27,WAS,4,0,5.5,0.3,1.8,.143,0.0,0.5,.000,0.3,1.3,.200,.143,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.3,0.0,0.0,0.5
288,Salah Mejri\mejrisa01,C,32,DAL,7,0,6.1,0.9,1.4,.600,0.0,0.1,.000,0.9,1.3,.667,.600,0.6,0.6,1.000,0.6,1.9,2.4,0.4,0.0,0.1,0.3,1.0,2.3
289,De'Anthony Melton\meltode01,PG,20,PHO,5,0,9.4,0.8,2.8,.286,0.4,1.6,.250,0.4,1.2,.333,.357,0.0,0.0,,0.0,1.6,1.6,0.6,0.8,0.2,0.8,1.6,2.0
290,Chimezie Metu\metuch01,PF,21,SAS,12,0,6.0,0.8,2.3,.357,0.0,0.2,.000,0.8,2.2,.385,.357,0.6,0.8,.778,0.6,1.1,1.7,0.7,0.2,0.2,0.6,0.4,2.3
291,Khris Middleton\middlkh01,SF,27,MIL,21,21,31.4,6.3,14.0,.451,3.0,7.3,.416,3.2,6.6,.489,.560,3.2,3.6,.907,0.4,5.2,5.6,4.1,1.3,0.1,2.3,2.7,18.9
292,C.J. Miles\milescj01,SF,31,TOR,17,0,13.8,1.7,5.2,.326,1.0,3.5,.283,0.7,1.7,.414,.421,0.8,1.1,.722,0.4,1.4,1.8,0.7,0.3,0.4,0.6,1.6,5.2
293,Darius Miller\milleda01,SF,28,NOP,19,0,19.6,1.8,4.7,.393,1.3,3.7,.357,0.5,1.0,.526,.534,0.1,0.2,.667,0.2,1.1,1.3,1.4,0.5,0.3,0.7,2.1,5.1
294,Patty Mills\millspa02,PG,30,SAS,22,0,25.4,3.5,8.0,.438,1.7,4.3,.389,1.8,3.7,.494,.543,1.0,1.3,.793,0.3,2.6,2.9,2.4,0.7,0.2,0.9,1.5,9.7
295,Paul Millsap\millspa01,PF,33,DEN,22,22,26.8,5.0,10.0,.502,0.9,2.3,.400,4.1,7.8,.532,.548,2.6,3.7,.716,2.2,4.8,7.0,2.0,1.5,1.2,1.6,2.6,13.6
296,Shake Milton\miltosh01,G,22,PHI,1,0,11.0,2.0,4.0,.500,1.0,2.0,.500,1.0,2.0,.500,.625,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0
297,Nikola Mirotic\mirotni01,PF,27,NOP,21,21,31.5,6.6,14.1,.470,2.7,7.4,.368,3.9,6.7,.582,.566,3.0,3.7,.831,1.9,8.2,10.1,1.1,0.9,0.7,1.2,2.3,19.0
298,Donovan Mitchell\mitchdo01,SG,22,UTA,19,19,32.7,8.1,18.8,.431,1.9,6.7,.289,6.2,12.1,.511,.483,3.4,4.2,.800,0.4,2.5,2.9,3.7,1.7,0.4,2.6,2.4,21.5
299,Naz Mitrou-Long\mitrona01,SG,25,UTA,1,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
300,Malik Monk\monkma01,SG,20,CHO,21,0,20.0,3.7,9.9,.370,1.8,5.5,.330,1.9,4.4,.419,.462,1.5,1.7,.886,0.2,1.5,1.7,2.0,0.6,0.2,1.2,1.7,10.6
301,Greg Monroe\monrogr01,C,28,TOR,10,0,7.4,1.7,3.3,.515,0.0,0.2,.000,1.7,3.1,.548,.515,0.3,0.6,.500,1.1,1.9,3.0,0.4,0.3,0.0,0.8,0.9,3.7
302,E'Twaun Moore\mooreet01,SF,29,NOP,23,23,31.1,6.2,11.8,.528,1.6,3.5,.450,4.7,8.3,.560,.594,1.1,1.6,.676,0.9,1.6,2.5,2.2,0.8,0.3,1.4,2.7,15.1
303,Jaylen Morris\morrija01,SG,23,MIL,2,0,6.5,1.5,2.0,.750,0.5,0.5,1.000,1.0,1.5,.667,.875,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,3.5
304,Marcus Morris\morrima03,PF,29,BOS,21,4,26.4,5.0,10.3,.486,2.0,4.7,.434,3.0,5.6,.530,.586,1.9,2.1,.867,0.8,5.7,6.5,1.4,0.5,0.1,1.7,2.8,13.9
305,Markieff Morris\morrima02,PF,29,WAS,21,15,26.4,4.0,9.3,.431,1.5,4.2,.348,2.5,5.0,.500,.510,1.7,2.0,.833,1.3,4.0,5.3,1.7,0.7,0.6,1.3,3.1,11.1
